Translation,original,final,"jan Sonatan","jan Kita"
,"watch The Wire",,,"o lukin e sitelen tawa Linja"
,"take improv",,,"o kama sona toki musi"
,"learn French",,,"o kama sina toki Kanse"
,"try yoga",,,"o lukin e ni: pali sijelo Joka li pona ala pona"
,"Sam, from Starbucks",,,"o unpa e jan San, tan esun pi telo wawa"
,"And finally, with the Take Your Time pill (they found a better name), I'll finally get to do all of these! ",,,"tenpo ni la, kepeken misikeke O Jo E Tenpo la (ona li pini alasa e nimi pona), mi ken pali e ale ni!"
,"33% more time.",,,"tenpo namako."
,"Eight whole new hours, every day, for all the things I've wanted to do in life.",,,"tenpo suli luka tu wan, lon tenpo suno ale, li ken e ijo ale pi wile mi."
,"Best of all, no side effects! Okay, the side effects of TYT are that I'd have to eat 4 meals a day and sleep 11 hours a night, but that sounds like a win-win to me.",,,"pona nanpa wan, misikeke li pali ala e ijo ante! n, ijo ante li ni: mi wile moku e moku tu tu li wile lape lon tenpo suli luka luka wan lon tenpo suno, taso ni li awen pona tawa mi."
,"Jenny, girl, you've been wasting your life all your life but finally, finally, you'll live up to who you were meant to be!",,,"jan Seni o, meli o, sina pakala e lon sina lon lon ale sina taso tenpo ni la, tenpo ni la, sina ken sina wile!"
,"God, I was so excited.",,,"a, mi pilin wawa."
,"God, I was so stupid.",,,"a, mi sona lili."
,"It started with that fucking brown-noser, Steve from Marketing.",,,"ni li open tan jan pakala pi olin lawa, tan jan Si pi kulupu pi toki esun."
,"Fucking Steve managed to buy a TYT before any of us.",,,"mi ale la, jan Si Pakala li kama jo nanpa wan e misikeke."
,"Fucking Asshole Steve didn't use the 8 extra hours a day to sharpen his mind, or deepen his soul, or contribute to the betterment of humanity, no.",,,"jan Si Pakala Monsi li kepeken ala tenpo namako tawa pona lawa, anu tawa suli kon, anu tawa pona pi jan ale, a."
,"Fucking Asshole Piece-of-Dog-Shit Steve used the 8 extra hours a day to work overtime.",,,"jan Si Pakala Monsi Pi Jaki Soweli li kepeken tenpo namako tawa pali namako."
,"Which meant he was relatively more valuable to the company.",,,"ni la, mi mute la ona li suli tawa kulupu esun."
,"Which meant the rest of us were relatively less valuable to the company.",,,"ni la, ona la mi mute li lili tawa kulupu esun."
,"Which meant Nikki started worrying about being let go.",,,"ni la, jan Niki li pilin monsuta tan weka pali ken."
,"Which meant that when Nikki got her TYT, she started working 8 hours overtime.",,,"ni la, jan Niki li kama jo e misikeke la, ona li open pali namako."
,"Which meant Mike started working 8 hours overtime.",,,"ni la, jan Maku li open pali namako."
,"Which meant Jin started working 8 hours overtime.",,,"ni la, jan Sin li open pali namako."
,"Which mean, soon, everyone was working 8 hours overtime.",,,"ni la, tenpo lili la, jan ale li pali namako."
,"Except for me, and Darren.",,,"mi en jan Telen taso li pali namako ala."
,"Before we swallowed our TYTs together, we made a promise.",,,"tenpo pini pi moku misikeke mi la, mi tu li toki awen."
,"That we wouldn't give in.",,,"mi tu li pakala ala."
,"That we wouldn't waste our extra 8 hours.",,,"mi tu li weka ala e tenpo namako mi."
,"That we wouldn't give Who Gives A Fuck Incorporated any more time of our one and only precious lives.",,,"mi tu li pana ala e tenpo namako pi ale wan taso suli tawa kulupu esun Mi Wile Ala Sona A."
,"They fired us both at the end of the workday, at 13pm.",,,"ona li weka e mi tu lon pini pi tenpo pali, lon tenpo suli nanpa luka luka tu wan pimeja."
,"""Jenny? Pumpkin Spice Latte for Jenny?""",,,"""jan Seni o? telo wawa pi kili loje tawa jan Seni?"""
,"This was about one week into unemployment.",,,"ni li lon tenpo esun kama pi kama pali ala."
,"Or: 7x(24+8) = 224 hours into unemployment.",,,"anu la, luka tu pi kulupu (mute tu tu en luka tu wan), li tenpo suli kama ale ale mute tu tu pi kama pali ala."
,"Leisure time is a lot less fun when it's involuntarily forced on you.",,,"tenpo awen li musi lili taso lon ni: sina ken ala jo ala e ona."
,"Still, I tried to make the best of it.",,,"awen la, mi wile musi mute lon ona."
,"By hanging out at Starbucks and hitting on the barista, Sam.",,,"lon tomo esun pi telo wawa, kepeken toki suwi tawa jan San."
,"""That's my drink! ",,,"""ni li telo mi!"
,"But, ooh, Sam sweetie...""",,,"taso, a, jan San suwi o..."""
," I loosened my coat.",,,"mi open lili e len mi."
,"""...could you add a bit more cream for me?""",,,"""...sina ken ala ken pana e telo walo lili?"""
,"""uh.",,,"""n."
,"sure.""",,,"oke."""
,"One creaming later, I took my pumpkin spice back to my table, where Darren was waiting.",,,"pana pi telo walo la, mi tawa e telo mi tawa supa mi. jan Telen li awen lon ona."
,"""You know, that kid's almost young enough to be your--"" I whispered a shut up darren.",,,"""n, jan ni li lon poka pi lili ni: ona li ken jan lili si-"" mi toki e jan telen o toki ala."
,"God, Darren took the unemployment pretty hard.",,,"pakala, jan Telen li pilin ike a tan pali ala ona."
,"At least my TO DO list mostly consisted of stuff you could do for free, but all the things Darren's longed to do his whole life -- skydiving, seeing Paris, miniature horse racing -- those cost, you know, money.",,,"pona la, lipu mi pi pali wile li jo mute e ijo pi wile ala mani, taso wile ale pi jan Telen -- anpa tan sewi a, lukin pi ma tomo Paki, tawa wawa utala pi soweli lili -- li wile e, n, mani."
,"Which is a lot harder to come by when you're the recently-unemployed breadloser of your family.",,,"jan li kama pali ala lon kulupu mama ona la, mani li kama lili."
,"And, fuuuuuck, his family.",,,"poka la, paaaaakala, kulupu mama ona."
,"His marriage was not going well.",,,"tu olin ona li pona ala."
,"It was shaky before, but it's been so much worse since he took the TYT.",,,"ona li pakala lili lon tenpo pini, taso ona li moku e misikeke la ona li kama ike mute."
,"His wife couldn't understand him when he spoke 33% faster.",,,"meli ona li ken ala kute e ona tan ni: ona li toki kepeken tenpo lili."
,"His daughter no longer wanted to play games with him since he can move and think 33% faster.",,,"jan lili ona li kama wile ala musi lon poka ona tan ni: ona li tawa li toki insa kepeken tenpo lili."
,"All that could be fixed if his family also took the TYT -- but after watching a news segment about some college kid overdosing on TYT, who suffered 100 years of pain in 5 minutes before dying -- they're sure as hell not going near the stuff.",,,"ale ni li ken kama pona lon ni: ona ale li moku e misikeke. taso ona li lukin e sitelen tawa pi ijo sin ni: jan pi tomo sona li moku pi mute ike e misikeke, li pilin ike lon tenpo suno ale kepeken tenpo lili luka li moli -- la ona li wile ala a kama jo e ona."
,"So, Darren was at Starbucks.",,,"ni la, jan Telen li lon tomo esun pi telo wawa."
,"Hanging out with me.",,,"lon poka mi."
,"""Jenny, this isn't right.""",,,"""jan Seni o, ni li pona ala."""
,"""Look, Darren, I know Sam's young, but he's not that y--""",,,"""jan Telen o, mi sona e lili pi jan San, taso ona li lili mute al-"""
,"""No, damn it Jenny, I mean all this.""",,,"""ala, pakala a, mi toki pi ale ni."""
," He pointed outside the window.",,,"ona li pana lukin e ma."
,"A stressed-out businessman was running past a crowd of pigeons at 133% speed.",,,"jan esun li pilin ike tan pali mute, li tawa wawa lon poka waso kepeken tenpo lili."
,"Or, from our perspective: a normal-speed businessman was running past a crowd of pigeons, that were flying away at 75% speed.",,,"anu la, lukin mi la, jan esun li tawa wawa lon poka waso kepeken tenpo meso. waso li tawa kepeken tenpo suli."
,"""People were given the literal time of their lives, and they're all wasting it on doing the things they hate.",,,"""jan ale li kama jo e tenpo sewi, li kepeken weka e ona tawa pali ike."
,"Jenny, this is wrong.",,,"jan Seni o, ni li ike."
,"We need to stop this.""",,,"mi tu li wile pini e ni."""
,"I almost snorted my cream.",,,"mi insa e ko walo pi telo mi kepeken nena."
,"""Ha! And what are our unemployed asses going to do about it?""",,,"""a a! mi tu pi pali ala li ken pali e seme tawa ni?"""
,"""I don't know! Something! Anything!""",,,"""mi sona ala! ijo! ijo ken!"""
,"""Oh I know, let's kill Professor Harrington.",,,"""a mi sona, mi o moli e jan sona Ewinton."
,"This is Hollywood logic, right? ",,,"ni li sama sitelen tawa anu seme?"
,"We kill a single guy and suddenly the whole system's fixed? ",,,"jan wan li moli la pali ale li kama pona?"
,"Or maybe this is Indie Film logic.",,,"anu la, ken la ni li sama sitelen tawa pi jan wan."
,"Let's create a touching viral video that'll show the whole wide world the value of taking time to smell the sweet roses!""",,,"mi o pali e sitelen tawa o pana lukin tawa jan ale e pona pi pali ni: jan li awen, li insa e kon suwi kasi!"""
,"""Jenny, I'm serious.""",,,"""jan Seni o, mi toki musi ala."""
,"""Well so am I, Darren!"" ",,,"""mi kin a, jan Telen o!"""
,"My spit flew out at 75% speed, from our perspective.",,,"telo uta mi li tawa kepeken tenpo mute, tawa lukin mi."
,"""There's nothing we can do about this.",,,"""mi ken ala pali tawa pona nim"
,"If nobody else will use TYT the way it was meant to, at least we should.",,,"jan ala li kepeken misikeke kepeken nasin wile la, mi tu o ni."
,"And that means forgetting about everyone else, and just taking time to enjoy our lives.",,,"ni la, o weka sona e jan ale ante, o pilin pona tan lon kepeken tenpo."
,"Screw 'em! Screw 'em all!""",,,"o pakala e ona! o pakala e ona ale!"""
,"""...you're angry because you secretly agree with me.""",,,"""...sina pilin utala tan ni: len la, pilin sina li sama pilin mi."""
,"""Oh FUCK you.""",,,"""o PAKALA e sina."""
,"""Yeah, you are! ",,,"""a, ni li lon!"
,"I know you hate that our whole world's on a treadmill that just keeps getting faster and faster.",,,"mi sona e ni: sina pilin ike tan ni: jan ale li lon ilo tawa pi kama wawa wawa."
,"And I know you hate that, if anyone tries to slow down, they get thrown off the treadmill.",,,"sina pilin ike tan ni kin: jan li wile tawa wawa ala la, ona li kama weka tan ilo tawa."
,"Like me.",,,"sama mi."
,"Like you.""",,,"sama sina."""
,"""Na na na not liiiiiiistening~"" ",,,"""a a a mi kute aaaaaaala~"""
,"I diverted my eyes to check out Sam's sweet ass.",,,"mi ante e lukin mi tawa monsi suwi pi jan San."
,"Damn it.",,,pakala.
,"If I'd known what Darren was going to do...",,,"mi sona e pali kama pi jan Telen la..."
,"if I'd known that was going to be the last time I talked to Darren...",,,"mi sona e ni: ni li toki mi tawa jan Telen nanpa pini, la..."
,"I don't know.",,,"mi sona ala."
,"I don't know what I would have done.",,,"mi sona ala e ni: mi pali e seme."
,"""Jenny, I can't do this alone.",,,"""jan Seni o, mi taso li ken ala pali e ni."
,"I need you to help me unplug the treadmill.""",,,"mi wile e ni: mi en sina li pini e ilo tawa."""
,"""Heh.",,,"""a."
,"What, is SAVE THE WORLD on your to-do list, now?""",,,"O PONA E MA ALE li lon lipu pali sina anu seme?"""
,"Darren gave me a defeated smile.",,,"uta pi jan Telen li pana lukin pakala e pilin pona."
,"He picked up his bag full of job applications, and walked towards the exit.",,,"ona li kama jo e poki len ona pi lipu pi wile pali, li tawa lupa weka."
,"""Why not, Jenny? We have all the time in the world.""",,,"""mi o pali ala tan seme, jan Seni o? mi jo e tenpo wile ale."""
,"They made a 16 hour pill.",,,"ona li pali e misikeke pi wawa namako."
,"Not Professor Harrington -- he's since gone on retirement, nobody knows where.",,,"jan sona Ewinton li ona ala. ona li weka tawa pali ala. jan li sona ala e lon."
,"Rumor has it he's running a tantric sex club somewhere in Nepal.",,,"toki ken la, ona li pali e kulupu pi unpa pi tenpo suli lon ma Nepa."
,"No, instead of Professor Harrington, it was Slimy Snakes In Suits Incorporated who created the 16 hour pill.",,,"jan sona Ewinton li pali ala e misikeke. kulupu Akesi Linja Jaki Pi Len Esun li pali e ona."
,"The CEO was giving an interview on the news:",,,"jan lawa ona li toki tawa kulupu li ijo sin:"
,"""Yes, we created a breakthrough improvement to ""Harrington's"" ""original"" formula.",,,"""lon, mi pali e pona sin tawa nasin ""sin"" ""pi"" jan sona Ewinton."
,"You may notice I'm using air quotes, because it turned out ""his"" formula used a part of a patent we acquired 10 years ago.",,,"mi kepeken poki nimi luka tan ni: nasin ""ona"" li kepeken wan pi nasin ni: mi kama jo e ona lon tenpo pini weka."
,"Our excellent legal team handled it, and the formula is now rightfully ours.""",,,"kulupu pona mi pi nasin lawa li pona e ni. pona la, nasin li kama mi."""
,"We made pharmaceuticals at my old company? I didn't know that.",,,"kulupu esun pini mi li pali e misikeke? mi sona ala e ni."
,"Wait, what did we do at my old company?",,,"n, kulupu esun pini mi li pali e seme?"
,"""Our enhanced 16 hour TYT pill is the result of weeks of hard work.",,,"""misikeke namako O Jo E Tenpo pi tenpo suli luka luka luka wan li tan tenpo esun mute pi pali suli."
,"This may be hard to understand, but you see, 8 plus 8 equals 16, so if you--""",,,"ni li ken ike tawa kama sona, taso luka tu wan en luka tu wan li luka luka luka wan, la jan li--"""
,"I missed Darren.",,,"mi pilin ike tan weka pi jan Telen."
,"I had already gone through my entire to-do list (except for Sam), and this was when I was still only on the 8-hour pill.",,,"mi pali e ale pi lipu pali mi (taso mi unpa ala e jan San). ni li kepeken misikeke nanpa wan taso."
,"I tried contacting Darren, but he never replied to my texts.",,,"mi alasa toki tawa jan Telen, taso ona li toki jasima ala."
,"I checked his Twitbook Plus feed, no update.",,,"mi lukin e lipu linluwi ona. ijo sin ala."
,"I even went to the extreme, and tried visiting his house, but his wife just yelled at me, at 75% speed.",,,"mi pali e ijo nasa kin, li alasa kama lon tomo ona, taso meli ona li toki wawa utala tawa mi, kepeken tenpo mute."
,"""Are you going to make a 24-hour pill?"" a reporter asked.",,,"""tenpo kama la sina pali ala pali e misikeke pi tenpo suli mute tu tu?"""
,"""We already have an experimental line of 24-hour pills, and we're currently using them internally to improve the productivity of our top scientists, who are working on a 32-hour pill.",,,"""tenpo ni la mi jo e misikeke ni pi pali ken, li pana e ona tawa jan sona mi pi pona mute. ona li pali e misikeke pi tenpo suli mute luka luka tu."
,"That project should be complete around...""",,,"pali ni li pini lon tenpo..."""
," The CEO checked his phone.",,,"jan lawa li lukin e ilo luka ona."
,"""...now.""",,,"""...ni."""
,"Darren, where were you? You were my friend.",,,"jan Telen o, sina lon seme? tenpo pini la sina jan pona mi."
,"""Oh, also Harrington forgot to mention this, but these pills don't shorten your lifespan.",,,"""a, poka la, jan Ewinton li toki ala e ni: misikeke ni li lili ala e tenpo pi moli ala."
,"Your body and mind speed up in relative time, but you still live the same amount of absolute time.",,,"sijelo sina en lawa sina li kama wawa tenpo, taso tenpo lon la sina awen lon tenpo sona."
,"Harrington invented a solution to...",,,"jan Ewinton li pini alasa e pona tawa..."
,"I mean, we invented a--""",,,"a, mi mute li pini alasa e--"""
,"You were my only friend.",,,"sina jan pona taso mi."
,"I swear, I tried not to give in.",,,"pakala, mi wile ala kama ike."
,"I really did.",,,"mi wile a."
,"I tried making new friends at meetups, but they were all on 48-hour TYT pills, and I was still only on 8.",,,"mi alasa kama jo e jan pona sin, taso ona ale li moku e misikeke pi tenpo suli mute mute luka tu wan. mi la tenpo suli luka tu wan taso."
,"So that's...",,,"ni li..."
,"let me do the math...",,,"mi o nanpa e ona..."
,"(24+48)/(24+8) = 2.25 = 225% faster than me.",,,"(mute tu tu en mute mute luka tu wan) kipisi (mute tu tu en luka tu wan) = tu tu li wan la luka tu tu = wawa tenpo mute tawa mi."
,"Everyone talked so fast, they sounded like chipmunks.",,,"jan ale li toki kepeken tenpo lili, li sama soweli kasi tawa kute mi."
,"And to them, I must have sounded like Fat Albert.",,,"kute ona la, mi sama jan pi suli poka."
,"But it was getting back home from those meetups that was hell.",,,"taso mi kama sin lon tomo la ni li ike mute."
,"They don't let us 8-pillers drive anymore, because we drive too slow, relative to others.",,,"mi pi misikeke nanpa luka tu wan li ken ala kepeken tomo tawa, tan ni: mi kepeken tenpo mute, tawa jan ante."
,"And biking would be way too dangerous for me, what with all the 48-pill drivers out there.",,,"mi ken ala kepeken ilo tawa noka, tan ni: jan mute pi tomo tawa li moku e misikeke nanpa mute mute luka tu wan."
,"So I tried walking.",,,"ni la, mi alasa tawa noka."
,"But I had to run across the crosswalks if I wanted to make it in time.",,,"taso mi wile lon nasin jan lili pi nasin pi tomo tawa la, mi o tawa wawa tan lili tenpo."
,"I can't even watch Netflix anymore since 16-pill's the slowest they stream it at these days.",,,"tenpo ni la mi ken ala lukin e sitelen tawa, tan ni: wawa tenpo ona pi lili nanpa wan li tawa jan pi misikeke nanpa luka luka luka wan."
,"I gave in.",,,"mi pakala."
,"One click.",,,"pilin ilo wan."
,"That's all it took.",,,"ni li ale wile."
,"Amazon said my new line of experimental 72-pills would arrive within two business relative-days.",,,"esun Amason li toki e ni: misikeke nasa sin nanpa mute mute mute luka luka tu li kama kepeken tenpo suno esun tu pi tenpo jan."
,"For me, it arrived in one hour.",,,"mi la, ona li kama kepeken tenpo suli wan."
,"This morning -- so, what, two relative-decades ago? -- I found out Darren was dead.",,,"open pi tenpo suno ni la -- mi la, tenpo sike pini mute anu seme? -- mi kama sona e moli pi jan Telen."
,"He was living with a small isolated community in the far-off lands of Canada, founded by, guess who, Professor Harrington.",,,
,"They're a group of artists, citizens, and scientists... and they're doing everything they can.",,,
,"They're engineering a benign virus to infect people and deliver an antidote for the pills.",,,
,"They're creating stunning works of art to force people to stop and appreciate the beauty of the universe.",,,
,"And they're building a rich, deep community to support and foster this way of life.",,,
,"No tantric sex club, though.",,,
,"I'll admit, it was near-impossible finding them; they made sure of that.",,,
,"But nothing's impossible when you have enough time.",,,
,"And I definitely had enough of that.",,,
,"Here's what my schedule looked like this morning, in absolute-time:",,,
,"0600: wake up",,,
,"0700: learn programming",,,
,"0800: hack into my old workplace's servers & get Cliché Dystopia Corporation Incorporated's secret formula for their experimental 2,400-pill",,,
,"0900: learn biochemistry & neuropsychology",,,
,"1100: improve the formula, manufacture a 1,000,000-pill, and take it.",,,
,"1101: here goes nothing.",,,
,"1101: learn quantum physics",,,
,"1110: solve a few unsolved problems in quantum physics",,,
,"1122: build a quantum computer",,,
,"1126: use it to break the encryption on all internet communication",,,
,"1128: use it to break the encryption on all satellite communication",,,
,"1132: hijack a few private image-capturing satellites",,,
,"1140: learn computational neuroscience",,,
,"1145: create an AI to scan yottabytes of internet traffic & trillions of millimeter-resolution satellite images, to find Darren.",,,
,"1148: no photos of Darren found, but internet metadata showed Darren was in direct contact with Professor Harrington(!!!)",,,
,"1149: told AI to search for satellite images of Professor Harrington",,,
,"1151: Professor Harrington found in Canada!",,,
,"1152: hijack a weather drone to make a sky-written message to Professor Harrington, identifying myself as a friend of Darren's, and giving him my phone number.",,,
,"1153: Professor Harrington writes a message on a piece of cardboard explaining that he doesn't have a phone, and shows it to my drone.",,,
,"fuck's sake.",,,
,"we have a cardboard-drone conversation instead.",,,
,"That's when I learnt that Darren had volunteered to be the first human trial for their pill antidote.",,,
,"It worked, but had severe side effects.",,,
,"Darren died.",,,
,"But he did not die in vain.",,,
,"The autopsy let them pinpoint exactly the flaws in their antidote, they iterated on it, and their 2nd and 3rd human trials were a success.",,,
,"In the next few months (absolute-months, sadly), they'll be working on a way to deliver this antidote through a benign virus, in order to give it to everyone.",,,
,"In order to let humanity really take its time back.",,,
,"To unplug the treadmill.",,,
,"Professor Harrington invited me to come to Darren's funeral.",,,
,"I said yes.",,,
,"My tears were floating around me, falling at 0.002% speed.",,,
,"You know what, I needed a break.",,,
,"A sabbatical, if you will.",,,
,"So, I decided to learn every language.",,,
,"Invented a couple of my own while I was at it.",,,
,"Took up rice-grain sculpture for a couple relative-months.",,,
,"Watched every film.",,,
,"Played every videogame.",,,
,"Read every book.",,,
,"And you know what? Of all the books I read, I hated the dystopian novels the most.",,,
,"Coz here's the two biggest bullshit things about 'em:",,,
,"One -- in most dystopia stories, some horrible thing is forced upon the public.",,,
,"Big Brother or bumblepuppies or whatever.",,,
,Bullshit.,,,
,"When the thing that will destroy humanity comes, it will be made with the best intentions, and we'll all buy into it willingly.",,,
,"Nobody forced us on this treadmill.",,,
,"It's just us.",,,
,"But, two -- in dystopia stories, the protagonist usually caves in.",,,
,"Guy says 2+2=5 or hangs himself in a tower, spoiler alert.",,,
,"And yeah sure, I'm not naive, good people lose all the time, but if you're writing a dystopian story to help us avoid that future, why depress your audience, killing their motivation to actually do something about it? ",,,
,"Coz, yeah, 1984 was so fucking influential, it stopped governments and corporations from spying on people, ever.",,,
,"Uh huh.",,,
,"But I'm not going to cave in.",,,
,"All those relative-decades ago, I made a promise.",,,
,"I promised my friend, my only friend:",,,
,"I wouldn't give in.",,,
,"Should probably tie up some loose plot threads here.",,,
,"Harrington gave me the instructions for traveling to his community, plus the formula for the antidote.",,,
,"I manufactured the antidote, and brought myself down to a 1000-pill level.",,,
,"I still needed to be fast enough to make my way through traffic and get to the airport.",,,
,"But first, I stopped by Darren's former house.",,,
,"His poor family.",,,
,"They've refused to take the TYT pill all this time, and now they're moving at 2% the speed of everyone else.",,,
,"I saw Darren's wife bending over -- in slow motion -- to pick up a bag of groceries her neighbors left her, since she can't possibly go to the grocery store herself.",,,
,"While she was busy blinking, I put a note in her bag explaining Darren's heroic sacrifice.",,,
,"She deserved to know.",,,
,"Afterwards, I stopped by my old workplace and flipped them the bird.",,,
,"Two birds, in fact.",,,
,"Then, I went to Starbucks, and told Sam he's a good kid, but as much as I appreciate the flirtatious attention he's been giving an old woman like me, he should be dating other girls and/or boys his age, and I wished him well in life, and that I'll have a tall green tea latte.",,,
,Hm.,,,
,"My flight to Canada doesn't leave for another couple relative-hours.",,,
,"I still have time to kill.",,,
,"No, not kill.",,,
,"Time to live.",,,
,"That's when I saw it: a monarch butterfly.",,,
